userid,test_type,assignment_count,ac_count,average_submissions_per_problem,total_submissions,average_codesize,average_codelines,average_completion_time,open_to_close_ratio,open_to_discount_ratio,timenorm_lastsubmit,ranknorm_lastsubmit,timenorm_firstsubmit,ranknorm_firstsubmit,normalized_codelines,ranknorm_codelines,normalized_codesize,ranknorm_codesize,normalized_ratio,ranknorm_ratio,error_count,score
63897,1,82,72,2.719512195,223,1152.219731,62.51569507,12178.39024,-16.34041574,-18.92288879,2.026218988,-2.385986683,0.721369332,-2.385986683,-23.59074196,0.531899934,-26.22411809,0.531899934,-28.95854265,0.531899934,51.7653077,95
67196,-1,57,48,1.666666667,95,606.7263158,35.91578947,3347.210526,16.07341437,19.47597722,-3.534029037,11.29458134,-3.508347109,11.29458134,-16.61708264,0.291392662,-18.56494929,0.291392662,-21.57011319,0.291392662,15.26596331,23
73994,1,68,60,1.191176471,81,948.3950617,42.04938272,171.1470588,26.00238541,39.52582094,0.740469858,17.40566213,0.585109231,17.40566213,-19.17014587,-0.195608682,-21.04404591,-0.195608682,-23.51642432,-0.195608682,5.073440024,50
74163,1,75,74,2.24,168,800.8154762,46.73214286,49412.38667,-24.45004348,-28.01209169,-2.182674176,-16.02491483,-4.082855835,-16.02491483,-21.70484682,-1.816276398,-23.70433548,-1.816276398,-25.68657682,-1.816276398,25.96269111,94
74470,-1,58,51,1.655172414,96,790.875,33.58333333,849.5862069,18.38366807,21.77091751,2.434321472,16.75507572,2.647723412,16.75507572,-15.81723616,-0.090061082,-16.66077805,-0.090061082,-20.35182192,-0.090061082,13.15040335,73
74679,1,57,37,1.49122807,85,718.8705882,30.28235294,33236.31579,17.16865234,20.90072854,0.940098787,17.49070025,0.998964308,17.49070025,-17.01556253,-1.597298549,-19.36795563,-1.597298549,-21.7072874,-1.597298549,16.95563557,0
75959,1,7,7,1.857142857,13,195.5384615,12.92307692,87.85714286,0.977586734,2.737904491,-1.457024254,2.306899627,-1.557806446,2.306899627,-2.309087781,0.25191335,-2.639197008,0.25191335,-2.679340762,0.25191335,1.866549881,2
76099,1,10,7,1.2,12,387.4166667,21.58333333,73410.9,3.539052548,10.01782665,-1.819399231,3.726506294,-1.839018943,3.726506294,-2.873406283,-0.417393604,-2.913751635,-0.417393604,-3.081766507,-0.417393604,1.890782113,12
79088,1,76,70,4.473684211,340,843.8382353,43.12941176,15468.42105,-16.28431323,-17.23092548,-0.743544778,0.819042762,-0.337172851,0.819042762,-21.33841705,-1.228866085,-23.86530396,-1.228866085,-26.56947872,-1.228866085,90.08089724,79
79101,1,71,68,1.971830986,140,658.1285714,33.47857143,19047.11268,21.77572801,25.46973501,-1.148734204,13.1471766,-0.84796595,13.1471766,-20.8246792,0.483635737,-22.71991817,0.483635737,-24.630127,0.483635737,22.95526607,89
